date,product,quantity_sold,price,total_sales
2024-01-01,Red Roses Bouquet,3,899,2697
2024-01-01,Sunflowers,6,150,900
2024-01-01,Tulip Bundle,9,399,3591
2024-01-01,Mixed Bouquet,14,699,9786
2024-01-01,Orchid Stem,1,250,250
2024-01-01,Baby’s Breath,14,120,1680
2024-01-02,Red Roses Bouquet,7,899,6293
2024-01-02,Sunflowers,6,150,900
2024-01-02,Tulip Bundle,8,399,3192
2024-01-02,Mixed Bouquet,5,699,3495
2024-01-02,Orchid Stem,9,250,2250
2024-01-02,Baby’s Breath,7,120,840
2024-01-03,Red Roses Bouquet,3,899,2697
2024-01-03,Sunflowers,3,150,450
2024-01-03,Tulip Bundle,10,399,3990
2024-01-03,Mixed Bouquet,13,699,9087
2024-01-03,Orchid Stem,12,250,3000
2024-01-03,Baby’s Breath,8,120,960
2024-01-04,Red Roses Bouquet,7,899,6293
2024-01-04,Sunflowers,8,150,1200
2024-01-04,Tulip Bundle,14,399,5586
2024-01-04,Mixed Bouquet,3,699,2097
2024-01-04,Orchid Stem,11,250,2750
2024-01-04,Baby’s Breath,9,120,1080
2024-01-05,Red Roses Bouquet,3,899,2697
2024-01-05,Sunflowers,10,150,1500
2024-01-05,Tulip Bundle,14,399,5586
2024-01-05,Mixed Bouquet,5,699,3495
2024-01-05,Orchid Stem,12,250,3000
2024-01-05,Baby’s Breath,11,120,1320
2024-01-06,Red Roses Bouquet,9,899,8091
2024-01-06,Sunflowers,9,150,1350
2024-01-06,Tulip Bundle,4,399,1596
2024-01-06,Mixed Bouquet,2,699,1398
2024-01-06,Orchid Stem,14,250,3500
2024-01-06,Baby’s Breath,2,120,240
2024-01-07,Red Roses Bouquet,13,899,11687
2024-01-07,Sunflowers,12,150,1800
2024-01-07,Tulip Bundle,9,399,3591
2024-01-07,Mixed Bouquet,14,699,9786
2024-01-07,Orchid Stem,10,250,2500
2024-01-07,Baby’s Breath,5,120,600
2024-01-08,Red Roses Bouquet,9,899,8091
2024-01-08,Sunflowers,2,150,300
2024-01-08,Tulip Bundle,7,399,2793
2024-01-08,Mixed Bouquet,4,699,2796
2024-01-08,Orchid Stem,5,250,1250
2024-01-08,Baby’s Breath,10,120,1200
2024-01-09,Red Roses Bouquet,4,899,3596
2024-01-09,Sunflowers,11,150,1650
2024-01-09,Tulip Bundle,13,399,5187
2024-01-09,Mixed Bouquet,3,699,2097
2024-01-09,Orchid Stem,10,250,2500
2024-01-09,Baby’s Breath,3,120,360
2024-01-10,Red Roses Bouquet,7,899,6293
2024-01-10,Sunflowers,13,150,1950
2024-01-10,Tulip Bundle,3,399,1197
2024-01-10,Mixed Bouquet,15,699,10485
2024-01-10,Orchid Stem,6,250,1500
2024-01-10,Baby’s Breath,15,120,1800
2024-01-11,Red Roses Bouquet,8,899,7192
2024-01-11,Sunflowers,12,150,1800
2024-01-11,Tulip Bundle,13,399,5187
2024-01-11,Mixed Bouquet,4,699,2796
2024-01-11,Orchid Stem,12,250,3000
2024-01-11,Baby’s Breath,16,120,1920
2024-01-12,Red Roses Bouquet,13,899,11687
2024-01-12,Sunflowers,12,150,1800
2024-01-12,Tulip Bundle,2,399,798
2024-01-12,Mixed Bouquet,12,699,8388
2024-01-12,Orchid Stem,10,250,2500
2024-01-12,Baby’s Breath,11,120,1320
2024-01-13,Red Roses Bouquet,11,899,9889
2024-01-13,Sunflowers,6,150,900
2024-01-13,Tulip Bundle,13,399,5187
2024-01-13,Mixed Bouquet,12,699,8388
2024-01-13,Orchid Stem,11,250,2750
2024-01-13,Baby’s Breath,8,120,960
2024-01-14,Red Roses Bouquet,5,899,4495
2024-01-14,Sunflowers,14,150,2100
2024-01-14,Tulip Bundle,4,399,1596
2024-01-14,Mixed Bouquet,1,699,699
2024-01-14,Orchid Stem,6,250,1500
2024-01-14,Baby’s Breath,12,120,1440
2024-01-15,Red Roses Bouquet,11,899,9889
2024-01-15,Sunflowers,6,150,900
2024-01-15,Tulip Bundle,4,399,1596
2024-01-15,Mixed Bouquet,2,699,1398
2024-01-15,Orchid Stem,13,250,3250
2024-01-15,Baby’s Breath,9,120,1080
2024-01-16,Red Roses Bouquet,4,899,3596
2024-01-16,Sunflowers,10,150,1500
2024-01-16,Tulip Bundle,3,399,1197
2024-01-16,Mixed Bouquet,7,699,4893
2024-01-16,Orchid Stem,9,250,2250
2024-01-16,Baby’s Breath,6,120,720
2024-01-17,Red Roses Bouquet,10,899,8990
2024-01-17,Sunflowers,13,150,1950
2024-01-17,Tulip Bundle,9,399,3591
2024-01-17,Mixed Bouquet,3,699,2097
2024-01-17,Orchid Stem,6,250,1500
2024-01-17,Baby’s Breath,10,120,1200
2024-01-18,Red Roses Bouquet,13,899,11687
2024-01-18,Sunflowers,10,150,1500
2024-01-18,Tulip Bundle,16,399,6384
2024-01-18,Mixed Bouquet,9,699,6291
2024-01-18,Orchid Stem,10,250,2500
2024-01-18,Baby’s Breath,3,120,360
2024-01-19,Red Roses Bouquet,9,899,8091
2024-01-19,Sunflowers,3,150,450
2024-01-19,Tulip Bundle,10,399,3990
2024-01-19,Mixed Bouquet,10,699,6990
2024-01-19,Orchid Stem,9,250,2250
2024-01-19,Baby’s Breath,11,120,1320
2024-01-20,Red Roses Bouquet,2,899,1798
2024-01-20,Sunflowers,2,150,300
